new_file,xref,orig_w,orig_h,aspect,page_used_for_naming,pkg_inferred,tonnage_inferred,tier_inferred,component_inferred,model_inferred,other_models_nearby,context_sample
sga_landscape_premium_4t_outdoor_5ttr7048a1000.png,108,343,430,landscape,14,Premium,4,,outdoor,5TTR7048A1000,"5TTR7048A1000, 5TXCB006AS3HC, S8X1B080M4PSC, TCONT724AS42DA, 5TTV8X48A1000, 5TXCC007AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ Premium | 4 Ton SGA >> BEST Total Investment $258/MO* $17,249 *with approved credi"
sga_landscape_premium_4t_outdoor_5ttr7048a1000_2.png,200,343,430,landscape,14,Premium,4,,outdoor,5TTR7048A1000,"5TTR7048A1000, 5TXCB006AS3HC, S8X1B080M4PSC, TCONT724AS42DA, 5TTV8X48A1000, 5TXCC007AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ Premium | 4 Ton SGA >> BEST Total Investment $258/MO* $17,249 *with approved credi"
sga_square_premium_4t_outdoor_5ttr7048a1000_2.png,307,342,372,square,14,Premium,4,,outdoor,5TTR7048A1000,"5TTR7048A1000, 5TXCB006AS3HC, S8X1B080M4PSC, TCONT724AS42DA, 5TTV8X48A1000, 5TXCC007AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ Premium | 4 Ton SGA >> BEST Total Investment $258/MO* $17,249 *with approved credi"
sga_landscape_premium_4t_outdoor_5ttv8x48a1000.png,81,818,600,landscape,14,Premium,4,,outdoor,5TTV8X48A1000,"5TTV8X48A1000, 5TXCC007AS3HC, S8V2C080M5PCB, TLINK360A2VVUA, 5TTR7048A1000, 5TXCB006AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ BEST Total Investment $258/MO* $17,249 *with approved credit Trane  5TTV8X48A1000 "
sga_square_premium_4t_outdoor_5ttv8x48a1000.png,77,410,414,square,14,Premium,4,,outdoor,5TTV8X48A1000,"5TTV8X48A1000, 5TXCC007AS3HC, S8V2C080M5PCB, TLINK360A2VVUA, 5TTR7048A1000, 5TXCB006AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ BEST Total Investment $258/MO* $17,249 *with approved credit Trane  5TTV8X48A1000 "
sga_square_premium_4t_outdoor_5ttv8x48a1000_2.png,85,322,328,square,14,Premium,4,,outdoor,5TTV8X48A1000,"5TTV8X48A1000, 5TXCC007AS3HC, S8V2C080M5PCB, TLINK360A2VVUA, 5TTR7048A1000, 5TXCB006AS3HC","Premium | 4 Ton SGA >> BETTER Total Investment $210/MO* $14,023 *with approved credit Net Investment $14,023 Financing Details: 12.99% APR Payment based on 120 Mos Proposed by: 129"
sga_portrait_premium_4t_outdoor_5ttv8x48a1000.png,79,300,429,portrait,14,Premium,4,,outdoor,5TTV8X48A1000,"5TTV8X48A1000, 5TXCC007AS3HC, S8V2C080M5PCB, TLINK360A2VVUA, 5TTR7048A1000, 5TXCB006AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ BEST Total Investment $258/MO* $17,249 *with approved credit Trane  5TTV8X48A1000 "
sga_landscape_premium_4t_outdoor_5ttv8x48a1000_2.png,83,171,202,landscape,14,Premium,4,,outdoor,5TTV8X48A1000,"5TTV8X48A1000, 5TXCC007AS3HC, S8V2C080M5PCB, TLINK360A2VVUA, 5TTR7048A1000, 5TXCB006AS3HC",Total Investment $258/MO* Trane  5TTV8X48A1000 -18 Series -Variable-Speed -Air Conditioner -12 year registered limited warranty on compressor -10 year on outdoor coil & all other f
sga_landscape_ultimate_4t_outdoor_5ttv0x48a1000.png,75,399,460,landscape,3,Ultimate,4,,outdoor,5TTV0X48A1000,"5TTV0X48A1000, 5TXCB006AS3HCAA, S8V2B080M4PCB, TLINK360A2VVUA, 5TTV8X48A1000, 5TXCC007AS3HCAA",Total Investment $280/MO* Trane   5TTV0X48A1000 -XV20i -Variable Speed -Air Conditioner -12 year registered limited warranty on compressor -10 year on outdoor coil & all other func
sga_square_furnace_a801x040am3sd.png,506,362,362,square,34,,,,furnace,A801X040AM3SD,"A5AC4024A1000, 5TXCB003AS3HC, A801X040AM3SD, TCONT724AS42DA, 26SCA524W003, CVAVA2414XMA","GOOD Total Investment $148/MO* $9,911 *with approved credit Net Investment $9,911 Financing Details: 12.99% APR Payment based on 120 Mos BUDGET Total Investment $118/MO* RunTru  A5"
sga_square_furnace_a801x060bm4sd.png,421,435,435,square,32,,,,furnace,A801X060BM4SD,"A5AC4030A1000, 5TXCB004AS3HC, A801X060BM4SD, TCONT724AS42DA, 26SCA530W003, CVAVA3014XMA","GOOD Total Investment $155/MO* $10,349 *with approved credit Net Investment $10,349 Financing Details: 12.99% APR Payment based on 120 Mos BUDGET Total Investment $121/MO* $8,089 *"
sga_square_furnace_a801x060bm4sd_2.png,508,320,320,square,32,,,,furnace,A801X060BM4SD,"A5AC4030A1000, 5TXCB004AS3HC, A801X060BM4SD, TCONT724AS42DA, 26SCA530W003, CVAVA3014XMA","GOOD Total Investment $155/MO* $10,349 *with approved credit Net Investment $10,349 Financing Details: 12.99% APR Payment based on 120 Mos BUDGET Total Investment $121/MO* $8,089 *"
sga_square_furnace_a801x080cm5sd.png,565,362,362,square,28,,,,furnace,A801X080CM5SD,"A5AC4042A1000, 5TXCC007AS3HC, A801X080CM5SD, TCONT724AS42DA, 26SCA542W003, CVAVA4821XMA","GOOD Total Investment $185/MO* $12,345 *with approved credit Net Investment $12,345 Financing Details: 12.99% APR Payment based on 120 Mos BUDGET Total Investment $132/MO* Amerista"
sga_banner_outdoor_5ttx5048a1000.png,106,1120,600,banner,4,,,,outdoor,5TTX5048A1000,"5TTX5048A1000, 5TXCC009AS3HC, S8X1C080M5PSC, TCONT724AS42DA, 5TTX7048A1000, 5TXCB006AS3HC","GOOD Total Investment $236/MO* $15,751 *with approved credit Net Investment $15,751 Financing Details: 12.99% APR Payment based on 120 Mos BUDGET Total Investment $206/MO* $13,766 "
sga_banner_outdoor_5ttx5048a1000_2.png,194,1120,600,banner,4,,,,outdoor,5TTX5048A1000,"5TTX5048A1000, 5TXCC009AS3HC, S8X1C080M5PSC, TCONT724AS42DA, 5TTX7048A1000, 5TXCB006AS3HC","GOOD Total Investment $236/MO* $15,751 *with approved credit Net Investment $15,751 Financing Details: 12.99% APR Payment based on 120 Mos BUDGET Total Investment $206/MO* $13,766 "
sga_landscape_outdoor_5ttx7048a1000.png,102,807,1046,landscape,4,,,,outdoor,5TTX7048A1000,"5TTX7048A1000, 5TXCB006AS3HC, S8V2B080M4PCB, TCONT724AS42DA, 5TTX5048A1000, 5TXCC009AS3HC",GOOD Total Investment $236/MO* Trane   5TTX7048A1000 -XL17i -Air Conditioner -Multi-Speed -10 Year Limited Parts Warranty -12 Year Limited Compressor Warranty Trane   5TXCB006AS3HC
